Model,Coefficient,P_value,R_squared / Pseudo_R2
OLS: Computer Use → Sadness,0.012852388917385184,1.4756867176133748e-08,0.0026879666750634357
OLS: Computer Use + Controls → Sadness,0.019802937160755225,2.9571709926660648e-18,0.03229996842317895
Logistic: Computer Use + Controls → Sadness,0.09708366599445456,3.308927023040038e-18,0.02695004068867979
