computer_use,count,mean,sadness_rate
1.0,2365,0.3200845665961945,32.00845665961945
2.0,2653,0.2540520165849981,25.40520165849981
3.0,1957,0.2565150740929995,25.65150740929995
4.0,2005,0.2817955112219451,28.179551122194514
5.0,1306,0.29709035222052066,29.709035222052066
6.0,621,0.3639291465378422,36.39291465378422
7.0,1016,0.3986220472440945,39.86220472440945
